Ticker,Date,mktWatch-marketCap,mktWatch-float,mktWatch-Beta,mktWatch-P/Eratio,mktWatch-EPS,mktWatch-yield,mktWatch-dividend,mktWatch-short%
BGB,2023-09-17,N/A 
AUTL,2023-09-17,498460000.0,148660000.0,1.04 ,N/A ,-1.1898 ,N/A ,N/A ,0.92  
DESP,2023-09-17,460300000.0,55250000.0,1.22 ,N/A ,-0.53 ,N/A ,N/A ,0.71  
ORC,2023-09-17,419210000.0,43770000.0,1.07 ,N/A ,-1.10 ,20.10  ,0.16 ,6.69  
AGEN,2023-09-17,497240000.0,370260000.0,1.17 ,N/A ,-0.8412 ,N/A ,N/A ,7.93  
GAMB,2023-09-17,495930000.0,14170000.0,0.88 ,109.69 ,0.12 ,N/A ,N/A ,1.45  
SVRA,2023-09-17,497440000.0,84450000.0,0.83 ,N/A ,-0.2794 ,N/A ,N/A ,2.68  
COOK,2023-09-17,495870000.0,73360000.0,1.72 ,N/A ,-2.3417 ,N/A ,N/A ,4.32  
LASR,2023-09-17,494410000.0,44030000.0,1.48 ,N/A ,-1.15 ,N/A ,N/A ,1.59  
ISPR,2023-09-17,494390000.0,11970000.0,0.06 ,N/A ,N/A ,N/A ,N/A ,0.99  
WSR,2023-09-17,494220000.0,46050000.0,1.11 ,12.84 ,0.78 ,4.81  ,0.04 ,1.26  
PDT,2023-09-17,N/A 
NAUT,2023-09-17,492230000.0,69230000.0,1.29 ,N/A ,-0.4673 ,N/A ,N/A ,1.89  
VGM,2023-09-17,N/A 
CTLP,2023-09-17,491210000.0,68140000.0,1.08 ,N/A ,0.00 ,N/A ,N/A ,2.31  
METC,2023-09-17,497980000.0,43900000.0,1.15 ,5.41 ,1.66 ,5.56  ,0.13 ,2.68  
DGICA,2023-09-17,486980000.0,15050000.0,0.61 ,"3,455.81 ",0.00 ,4.58  ,0.17 ,0.91  
DENN,2023-09-17,489750000.0,52890000.0,1.32 ,13.22 ,0.67 ,N/A ,N/A ,2.13  
QNST,2023-09-17,489640000.0,49540000.0,1.12 ,N/A ,-1.27 ,N/A ,N/A ,4.15  
VKQ,2023-09-17,N/A 
IVR,2023-09-17,488150000.0,44440000.0,0.99 ,N/A ,-1.58 ,14.61  ,0.40 ,7.62  
DM,2023-09-17,487570000.0,223580000.0,0.92 ,N/A ,-1.4937 ,N/A ,N/A ,30.45  
CLDT,2023-09-17,486620000.0,47570000.0,1.46 ,77.27 ,0.13 ,2.81  ,0.07 ,1.03  
